level,code,title_nl
1,A,"LANDBOUW, BOSBOUW EN VISSERIJ"
2,01,"Teelt van gewassen, veeteelt, jacht en diensten in verband met deze activiteiten"
3,01.1,Teelt van eenjarige gewassen
4,01.11,"Teelt van andere granen dan rijst, en van peulgewassen en oliehoudende zaden"
5,01.110,"Teelt van andere granen dan rijst, en van peulgewassen en oliehoudende zaden"
4,01.12,Teelt van rijst
5,01.120,Teelt van rijst
4,01.13,"Teelt van groenten, meloenen en wortel- en knolgewassen"
5,01.130,"Teelt van groenten, meloenen en wortel- en knolgewassen"
4,01.14,Teelt van suikerriet
5,01.140,Teelt van suikerriet
4,01.15,Teelt van tabak
5,01.150,Teelt van tabak
4,01.16,Teelt van vezelgewassen
5,01.160,Teelt van vezelgewassen
4,01.19,Teelt van andere eenjarige gewassen
5,01.191,Teelt van bloemen
5,01.199,"Teelt van andere eenjarige gewassen, n.e.g."
3,01.2,Teelt van meerjarige gewassen
4,01.21,Teelt van druiven
5,01.210,Teelt van druiven
4,01.22,Teelt van tropisch en subtropisch fruit
5,01.220,Teelt van tropisch en subtropisch fruit
4,01.23,Teelt van citrusvruchten
5,01.230,Teelt van citrusvruchten
4,01.24,Teelt van pit- en steenvruchten
5,01.240,Teelt van pit- en steenvruchten
4,01.25,"Teelt van andere boomvruchten, kleinfruit en noten"
5,01.250,"Teelt van andere boomvruchten, kleinfruit en noten"
4,01.26,Teelt van oliehoudende vruchten
5,01.260,Teelt van oliehoudende vruchten
4,01.27,Teelt van gewassen bestemd voor de vervaardiging van dranken
5,01.270,Teelt van gewassen bestemd voor de vervaardiging van dranken
4,01.28,Teelt van specerijgewassen en van aromatische en medicinale gewassen
5,01.280,Teelt van specerijgewassen en van aromatische en medicinale gewassen
4,01.29,Teelt van andere meerjarige gewassen
5,01.290,Teelt van andere meerjarige gewassen
3,01.3,Plantenvermeerdering
4,01.30,Plantenvermeerdering
5,01.301,"Boomkwekerijen, m.u.v. bosboomkwekerijen"
5,01.309,Overige plantenvermeerdering
3,01.4,Veeteelt
4,01.41,Fokken en houden van melkvee
5,01.410,Fokken en houden van melkvee
4,01.42,Fokken en houden van andere runderen en buffels
5,01.420,Fokken en houden van andere runderen en buffels
4,01.43,Fokken en houden van paarden en andere paardachtigen
5,01.430,Fokken en houden van paarden en andere paardachtigen
4,01.44,Fokken en houden van kamelen en andere kameelachtigen
5,01.440,Fokken en houden van kamelen en andere kameelachtigen
4,01.45,Fokken en houden van schapen en geiten
5,01.450,Fokken en houden van schapen en geiten
4,01.46,Fokken en houden van varkens
5,01.461,Fokvarkenshouderijen
5,01.462,Varkensvetmesterijen
4,01.47,Fokken en houden van pluimvee
5,01.471,Kippenkwekerijen
5,01.472,Productie van eieren van pluimvee
5,01.479,"Pluimveehouderijen, m.u.v. kippenkwekerijen"
4,01.48,Fokken en houden van andere dieren
5,01.480,Fokken en houden van andere dieren
3,01.5,Gemengd landbouwbedrijf
4,01.50,Gemengd landbouwbedrijf
5,01.500,Gemengd landbouwbedrijf
3,01.6,Ondersteunende activiteiten in verband met de landbouw; activiteiten met betrekking tot gewassen na de oogst
4,01.61,Ondersteunende activiteiten in verband met de teelt van gewassen
5,01.610,Ondersteunende activiteiten in verband met de teelt van gewassen
4,01.62,Ondersteunende activiteiten in verband met de veeteelt
5,01.620,Ondersteunende activiteiten in verband met de veeteelt
4,01.63,Behandeling van gewassen na de oogst en van zaden voor vermeerdering
5,01.630,Behandeling van gewassen na de oogst en van zaden voor vermeerdering
3,01.7,"Jacht, zetten van vallen en diensten in verband met deze activiteiten"
4,01.70,"Jacht, zetten van vallen en diensten in verband met deze activiteiten"
5,01.700,"Jacht, zetten van vallen en diensten in verband met deze activiteiten"
2,02,Bosbouw en exploitatie van bossen
3,02.1,Bosbouw en bosbouwactiviteiten
4,02.10,Bosbouw en bosbouwactiviteiten
5,02.100,Bosbouw en bosbouwactiviteiten
3,02.2,Exploitatie van bossen
4,02.20,Exploitatie van bossen
5,02.200,Exploitatie van bossen
3,02.3,Verzamelen van in het wild groeiende producten met uitzondering van hout
4,02.30,Verzamelen van in het wild groeiende producten met uitzondering van hout
5,02.300,Verzamelen van in het wild groeiende producten met uitzondering van hout
3,02.4,Ondersteunende diensten in verband met de bosbouw
4,02.40,Ondersteunende diensten in verband met de bosbouw
5,02.400,Ondersteunende diensten in verband met de bosbouw
2,03,Visserij en aquacultuur
3,03.1,Visserij
4,03.11,Zeevisserij
5,03.110,Zeevisserij
4,03.12,Binnenvisserij
5,03.120,Binnenvisserij
3,03.2,Aquacultuur
4,03.21,Mariene aquacultuur
5,03.210,Mariene aquacultuur
4,03.22,Aquacultuur in zoet water
5,03.220,Aquacultuur in zoet water
3,03.3,Ondersteunende activiteiten voor visserij en aquacultuur
4,03.30,Ondersteunende activiteiten voor visserij en aquacultuur
5,03.300,Ondersteunende activiteiten voor visserij en aquacultuur
1,B,WINNING VAN DELFSTOFFEN
2,05,Winning van steenkool en bruinkool
3,05.1,Winning van steenkool
4,05.10,Winning van steenkool
5,05.100,Winning van steenkool
3,05.2,Winning van bruinkool
4,05.20,Winning van bruinkool
5,05.200,Winning van bruinkool
2,06,Winning van aardolie en aardgas
3,06.1,Winning van aardolie
4,06.10,Winning van aardolie
5,06.100,Winning van aardolie
3,06.2,Winning van aardgas
4,06.20,Winning van aardgas
5,06.200,Winning van aardgas
2,07,Winning van metaalertsen
3,07.1,Winning van ijzererts
4,07.10,Winning van ijzererts
5,07.100,Winning van ijzererts
3,07.2,Winning van non-ferrometaalertsen
4,07.21,Winning van uranium- en thoriumerts
5,07.210,Winning van uranium- en thoriumerts
4,07.29,Winning van andere non-ferrometaalertsen
5,07.290,Winning van andere non-ferrometaalertsen
2,08,Overige winning van delfstoffen
3,08.1,"Winning van steen, zand en klei"
4,08.11,"Winning van siersteen, kalksteen, gips, leisteen en andere steen"
5,08.111,Winning van sier- en bouwsteen
5,08.112,"Winning van kalksteen, gips, leisteen en andere steen"
4,08.12,"Winning van grind, zand, klei en kaolien"
5,08.121,Winning van grind
5,08.122,Winning van zand
5,08.123,Winning van klei en kaolien
3,08.9,"Winning van delfstoffen, n.e.g."
4,08.91,Winning van mineralen voor de chemische en de kunstmestindustrie
5,08.910,Winning van mineralen voor de chemische en de kunstmestindustrie
4,08.92,Winning van turf
5,08.920,Winning van turf
4,08.93,Zoutwinning
5,08.930,Zoutwinning
4,08.99,"Overige winning van delfstoffen, n.e.g."
5,08.990,"Overige winning van delfstoffen, n.e.g."
2,09,Ondersteunende activiteiten in verband met de mijnbouw
3,09.1,Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning
4,09.10,Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning
